"id","texte","datePublication"
1,"Peut-on prolonger un séjour déjà en cours ?","2023-07-22"
2,"Le nettoyage est-il effectué régulièrement dans les logements loués ?","2023-02-10"
3,"Comment puis-je vérifier les disponibilités et réserver un logement ?","2023-04-23"
4,"Est-ce que les logements disposent d'installations pour bébés et enfants en bas âge ?","2023-01-04"
5,"Comment puis-je modifier ma réservation après confirmation ?","2024-06-02"
6,"Existe-t-il des réductions pour les longs séjours ?","2023-06-27"
7,"Est-il possible d'avoir un guide local ou des recommandations sur les activités à proximité ?","2024-02-01"
8,"Comment fonctionnent les remboursements en cas d'annulation anticipée d'un long séjour ?","2023-12-12"
9,"Quels sont les modes de paiement acceptés ?","2023-09-15"
10,"Quels sont les horaires de check-in et check-out pour les logements ?","2024-02-01"
11,"Quelles sont les options de logement disponibles pour des séjours de longue durée ?","2024-02-01"
12,"Les logements sont-ils équipés pour accueillir des personnes à mobilité réduite ?","2023-03-28"
13,"Est-il possible de louer un logement pour une seule nuit ?","2023-09-05"
14,"Comment puis-je vérifier les disponibilités et réserver un logement ?","2023-04-23"
15,"Comment puis-je obtenir une facture pour mon séjour ?","2023-11-12"
16,"Quels types de logements proposez-vous pour les locations courtes durées ?","2024-01-19"
17,"Peut-on amener des animaux de compagnie dans les locations ?","2023-07-31"
18,"Comment sont gérées les clés ou l'accès aux logements ?","2023-04-10"
19,"Quels types de logements proposez-vous pour les locations courtes durées ?","2024-01-19"
20,"Y a-t-il des frais supplémentaires pour les services comme le wifi ou le parking ?","2023-12-22"
21,"Est-ce que des services de conciergerie sont disponibles dans vos logements ?","2024-02-01"
22,"Les logements sont-ils non-fumeurs ou puis-je fumer à l'intérieur ?","2023-10-30"
23,"Comment puis-je signaler un problème ou une urgence durant mon séjour ?","2023-06-10"
24,"Y a-t-il des frais supplémentaires pour les services comme le wifi ou le parking ?","2023-12-22"
25,"Est-il possible de visiter le logement avant de réserver ?","2023-08-20"
26,"Y a-t-il des offres spéciales pour les réservations de dernière minute ?","2023-11-01"
27,"Quels sont les équipements standard dans les logements ?","2023-05-03"
28,"Peut-on amener des animaux de compagnie dans les locations ?","2023-07-31"
29,"Y a-t-il des frais de nettoyage supplémentaires ?","2023-02-14"
30,"Quelle est la politique d'annulation pour une location courte durée ?","2023-08-15"
31,"Y a-t-il des restrictions d'âge pour louer un logement ?","2023-05-20"
32,"Y a-t-il une assurance en cas de dommages dans le logement pendant le séjour ?","2024-02-01"
33,"Les animaux de compagnie sont-ils autorisés dans les logements ?","2023-01-31"
