"id","idCommentaireOriginal","texte","type"
1,0,"Un séjour absolument parfait, merci pour tout !",1
2,1,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
3,2,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
4,1,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
5,4,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
6,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
7,6,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
8,7,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
9,6,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
10,9,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
11,0,"Exceptionnel sur tous les points, je recommande vivement.",1
12,11,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
13,12,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
14,11,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
15,14,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
16,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
17,16,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
18,17,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
19,16,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
20,19,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
21,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
22,21,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
23,22,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
24,21,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
25,24,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
26,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
27,26,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
28,27,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
29,26,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
30,29,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
31,0,"Exceptionnel sur tous les points, je recommande vivement.",1
32,31,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
33,32,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
34,31,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
35,34,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
36,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
37,36,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
